unit,cycle,y_true,y_pred,abs_err
39,1,127,195.46077,68.46077
39,2,126,218.63571,92.63570999999999
39,3,125,178.64192,53.64192
39,4,124,175.8376,51.83760000000001
39,5,123,170.05972,47.05972
39,6,122,187.51207,65.51207
39,7,121,185.52301,64.52301
39,8,120,181.0088,61.00880000000001
39,9,119,164.5142,45.51419999999999
39,10,118,182.97658,64.97658000000001
39,11,117,185.99915,68.99914999999999
39,12,116,168.08945,52.08945
39,13,115,159.20667,44.20667
39,14,114,171.49503,57.495030000000014
39,15,113,164.53714,51.537139999999994
39,16,112,166.1301,54.1301
39,17,111,164.40318,53.40317999999999
39,18,110,163.9654,53.96539999999999
39,19,109,162.75667,53.756670000000014
39,20,108,156.90137,48.901369999999986
39,21,107,157.14525,50.145250000000004
39,22,106,156.7505,50.75049999999999
39,23,105,164.5514,59.5514
39,24,104,158.55446,54.554460000000006
39,25,103,159.99933,56.999329999999986
39,26,102,153.69543,51.69542999999999
39,27,101,146.09143,45.09143
39,28,100,152.10509,52.10508999999999
39,29,99,129.4687,30.468700000000013
39,30,98,126.55975,28.559749999999994
39,31,97,147.33835,50.33834999999999
39,32,96,133.98792,37.98792
39,33,95,133.17014,38.17014
39,34,94,132.47377,38.47377
39,35,93,134.94667,41.94667000000001
39,36,92,135.64465,43.64465000000001
39,37,91,130.80832,39.80832000000001
39,38,90,116.56076,26.560760000000002
39,39,89,128.85312,39.85311999999999
39,40,88,130.18315,42.18315000000001
39,41,87,134.03839,47.03838999999999
39,42,86,129.49126,43.49126000000001
39,43,85,127.05828,42.058279999999996
39,44,84,108.628876,24.628876000000005
39,45,83,103.29095,20.290949999999995
39,46,82,92.26917,10.269170000000003
39,47,81,94.81698,13.816980000000001
39,48,80,99.023605,19.023605000000003
39,49,79,113.08057,34.080569999999994
39,50,78,92.853226,14.853226000000006
39,51,77,89.05771,12.05771
39,52,76,113.771355,37.771355
39,53,75,106.44711,31.447109999999995
39,54,74,108.09348,34.09348
39,55,73,105.57789,32.57789
39,56,72,96.265625,24.265625
39,57,71,100.6154,29.615399999999994
39,58,70,100.75634,30.756339999999994
39,59,69,95.95961,26.959609999999998
39,60,68,87.433075,19.433075000000002
39,61,67,98.49255,31.492549999999994
39,62,66,97.475494,31.475493999999998
39,63,65,97.82072,32.820719999999994
39,64,64,101.257,37.257000000000005
39,65,63,100.71491,37.71491
39,66,62,81.128235,19.128235000000004
39,67,61,79.13705,18.137050000000002
39,68,60,76.772255,16.772255
39,69,59,72.491104,13.491104000000007
39,70,58,68.695335,10.695335
39,71,57,77.24419,20.244190000000003
39,72,56,73.70592,17.705920000000006
39,73,55,77.44188,22.441879999999998
39,74,54,90.81559,36.81559
39,75,53,79.62036,26.620360000000005
39,76,52,75.217384,23.217383999999996
39,77,51,73.07873,22.078729999999993
39,78,50,88.36731,38.36731
39,79,49,85.60782,36.607820000000004
39,80,48,75.35898,27.358980000000003
39,81,47,74.92865,27.928650000000005
39,82,46,67.76836,21.76836
39,83,45,64.62857,19.628569999999996
39,84,44,64.563156,20.563156000000006
39,85,43,59.814274,16.814273999999997
39,86,42,51.61076,9.610759999999999
39,87,41,44.901863,3.9018629999999987
39,88,40,53.166138,13.166137999999997
39,89,39,47.737186,8.737186000000001
39,90,38,43.008648,5.008648000000001
39,91,37,45.3603,8.360300000000002
39,92,36,40.72785,4.7278499999999966
39,93,35,45.8656,10.8656
39,94,34,44.92015,10.92015
39,95,33,46.273468,13.273468000000001
39,96,32,36.316956,4.316955999999998
39,97,31,39.759426,8.759425999999998
39,98,30,38.587193,8.587193
39,99,29,41.435307,12.435307000000002
39,100,28,31.952505,3.9525049999999986
39,101,27,31.8979,4.8979
39,102,26,32.23735,6.237349999999999
39,103,25,31.199247,6.199247
39,104,24,34.36241,10.362409999999997
39,105,23,33.429214,10.429214000000002
39,106,22,25.210482,3.210481999999999
39,107,21,29.074682,8.074682
39,108,20,27.703478,7.7034780000000005
39,109,19,25.733622,6.733622
39,110,18,25.689203,7.689202999999999
39,111,17,22.623241,5.623241
39,112,16,20.055492,4.055492000000001
39,113,15,17.041544,2.0415439999999982
39,114,14,16.587612,2.587612
39,115,13,14.740996,1.7409960000000009
39,116,12,12.275863,0.2758629999999993
39,117,11,11.292318,0.29231799999999986
39,118,10,7.456123,2.543877
39,119,9,7.316708,1.6832919999999998
39,120,8,6.6184053,1.3815947
39,121,7,4.6397247,2.3602752999999996
39,122,6,5.312701,0.6872990000000003
39,123,5,5.8756933,0.8756933
39,124,4,5.7635784,1.7635784
39,125,3,5.2864046,2.2864046
39,126,2,5.3680344,3.3680344
39,127,1,3.604179,2.604179
39,128,0,3.423392,3.423392
