unit,cycle,y_true,y_pred,abs_err
69,1,361,227.91193,133.08807
69,2,360,197.85426,162.14574
69,3,359,208.89578,150.10422
69,4,358,180.22952,177.77048
69,5,357,177.93593,179.06407
69,6,356,180.34003,175.65997
69,7,355,180.07489,174.92511
69,8,354,180.23816,173.76184
69,9,353,172.80107,180.19893
69,10,352,163.46622,188.53378
69,11,351,156.92819,194.07181
69,12,350,161.62007,188.37993
69,13,349,168.39882,180.60118
69,14,348,168.52095,179.47905
69,15,347,170.64688,176.35312
69,16,346,161.5148,184.4852
69,17,345,161.32642,183.67358
69,18,344,164.3848,179.6152
69,19,343,166.87222,176.12778
69,20,342,157.66429,184.33571
69,21,341,158.38632,182.61368
69,22,340,160.34834,179.65166
69,23,339,150.6174,188.3826
69,24,338,152.23209,185.76791
69,25,337,157.91614,179.08386
69,26,336,155.65909,180.34091
69,27,335,158.72331,176.27669
69,28,334,159.88571,174.11429
69,29,333,156.57115,176.42885
69,30,332,152.30997,179.69003
69,31,331,156.24187,174.75813
69,32,330,161.05995,168.94005
69,33,329,160.3459,168.6541
69,34,328,139.02443,188.97557
69,35,327,145.40678,181.59322
69,36,326,154.2946,171.7054
69,37,325,155.6042,169.3958
69,38,324,160.41588,163.58412
69,39,323,148.74512,174.25488
69,40,322,143.87454,178.12546
69,41,321,147.27344,173.72656
69,42,320,146.15892,173.84108
69,43,319,134.16049,184.83951
69,44,318,140.88715,177.11285
69,45,317,125.77938,191.22062
69,46,316,144.76411,171.23589
69,47,315,136.09464,178.90536
69,48,314,146.87973,167.12027
69,49,313,143.4372,169.5628
69,50,312,129.50815,182.49185
69,51,311,131.31358,179.68642
69,52,310,131.4503,178.5497
69,53,309,129.1085,179.8915
69,54,308,130.76442,177.23558
69,55,307,134.10396,172.89604
69,56,306,134.06349,171.93651
69,57,305,122.878716,182.121284
69,58,304,135.70004,168.29996
69,59,303,135.40213,167.59787
69,60,302,135.69371,166.30629
69,61,301,128.3269,172.6731
69,62,300,121.81466,178.18534
69,63,299,122.82796,176.17203999999998
69,64,298,115.97228,182.02772
69,65,297,126.55179,170.44821000000002
69,66,296,127.62426,168.37574
69,67,295,120.0251,174.9749
69,68,294,127.78641,166.21359
69,69,293,130.7098,162.2902
69,70,292,122.251564,169.748436
69,71,291,128.40213,162.59787
69,72,290,125.12091,164.87909000000002
69,73,289,126.44715,162.55285
69,74,288,124.04427,163.95573000000002
69,75,287,128.8741,158.1259
69,76,286,136.79462,149.20538
69,77,285,140.64716,144.35284
69,78,284,137.70671,146.29329
69,79,283,144.53929,138.46071
69,80,282,139.84303,142.15697
69,81,281,146.28711,134.71289
69,82,280,148.24803,131.75197
69,83,279,140.69308,138.30692
69,84,278,127.64085,150.35915
69,85,277,135.98894,141.01106
69,86,276,141.65466,134.34534
69,87,275,136.45708,138.54292
69,88,274,145.60974,128.39026
69,89,273,141.66908,131.33092
69,90,272,144.56209,127.43790999999999
69,91,271,151.62729,119.37271000000001
69,92,270,158.54276,111.45724000000001
69,93,269,144.02638,124.97362000000001
69,94,268,150.33916,117.66084000000001
69,95,267,140.84131,126.15869
69,96,266,151.26749,114.73250999999999
69,97,265,155.05342,109.94658000000001
69,98,264,149.53008,114.46992
69,99,263,167.3477,95.6523
69,100,262,156.33592,105.66408000000001
69,101,261,168.57396,92.42604
69,102,260,147.04312,112.95688000000001
69,103,259,150.57614,108.42385999999999
69,104,258,141.85454,116.14546000000001
69,105,257,140.21167,116.78833
69,106,256,138.56053,117.43947
69,107,255,143.05458,111.94542000000001
69,108,254,138.86993,115.13006999999999
69,109,253,148.9116,104.08840000000001
69,110,252,142.99312,109.00688
69,111,251,147.1378,103.8622
69,112,250,127.51975,122.48025
69,113,249,127.34143,121.65857
69,114,248,128.28047,119.71952999999999
69,115,247,122.792984,124.207016
69,116,246,133.30975,112.69024999999999
69,117,245,122.50103,122.49897
69,118,244,125.1989,118.8011
69,119,243,137.71048,105.28952000000001
69,120,242,127.42713,114.57287
69,121,241,126.53878,114.46122
69,122,240,140.37938,99.62062
69,123,239,143.75954,95.24046000000001
69,124,238,141.83908,96.16092
69,125,237,138.05804,98.94196
69,126,236,137.47673,98.52327
69,127,235,149.61244,85.38756000000001
69,128,234,149.57674,84.42326
69,129,233,150.30365,82.69635
69,130,232,144.13933,87.86067
69,131,231,146.08208,84.91792000000001
69,132,230,155.76344,74.23656
69,133,229,149.79564,79.20436000000001
69,134,228,150.7549,77.24510000000001
69,135,227,152.75368,74.24632
69,136,226,147.83104,78.16896
69,137,225,156.57477,68.42523
69,138,224,162.46202,61.537980000000005
69,139,223,160.0455,62.954499999999996
69,140,222,152.11226,69.88774000000001
69,141,221,152.91719,68.08281
69,142,220,142.6124,77.38759999999999
69,143,219,150.14474,68.85525999999999
69,144,218,147.80998,70.19002
69,145,217,153.0841,63.91589999999999
69,146,216,160.19324,55.80676
69,147,215,146.38425,68.61574999999999
69,148,214,136.78448,77.21552
69,149,213,127.807526,85.192474
69,150,212,135.63966,76.36034000000001
69,151,211,154.4738,56.52619999999999
69,152,210,121.85496,88.14504
69,153,209,121.05843,87.94157
69,154,208,126.76258,81.23742
69,155,207,120.4008,86.5992
69,156,206,127.3327,78.6673
69,157,205,123.67706,81.32294
69,158,204,129.3174,74.68260000000001
69,159,203,120.7037,82.2963
69,160,202,122.6347,79.3653
69,161,201,123.69455,77.30545
69,162,200,123.89496,76.10504
69,163,199,113.00465,85.99535
69,164,198,116.34391,81.65609
69,165,197,114.24728,82.75272
69,166,196,120.00848,75.99152
69,167,195,115.62931,79.37069
69,168,194,130.10701,63.89299
69,169,193,117.57193,75.42807
69,170,192,123.81202,68.18798
69,171,191,101.645454,89.354546
69,172,190,98.63109,91.36891
69,173,189,101.909874,87.090126
69,174,188,115.538925,72.461075
69,175,187,129.85684,57.143159999999995
69,176,186,118.887695,67.112305
69,177,185,116.88368,68.11632
69,178,184,111.354355,72.645645
69,179,183,119.447365,63.552634999999995
69,180,182,106.18337,75.81663
69,181,181,102.7728,78.2272
69,182,180,107.731766,72.268234
69,183,179,107.73941,71.26059
69,184,178,114.23501,63.76499
69,185,177,114.63722,62.36278
69,186,176,121.28429,54.71571
69,187,175,116.679985,58.320015
69,188,174,129.27266,44.72734
69,189,173,128.93875,44.06125
69,190,172,122.425514,49.57448599999999
69,191,171,109.82914,61.170860000000005
69,192,170,108.34136,61.658640000000005
69,193,169,110.278465,58.721535
69,194,168,106.68756,61.312439999999995
69,195,167,118.19062,48.809380000000004
69,196,166,118.389885,47.61011499999999
69,197,165,117.16288,47.83712
69,198,164,113.740395,50.25960499999999
69,199,163,111.83826,51.161739999999995
69,200,162,115.34507,46.65492999999999
69,201,161,112.32377,48.676230000000004
69,202,160,114.115814,45.884186
69,203,159,99.84385,59.15615
69,204,158,108.74868,49.25132000000001
69,205,157,110.74981,46.25019
69,206,156,121.0986,34.901399999999995
69,207,155,119.29002,35.70998
69,208,154,105.95868,48.04132
69,209,153,103.14465,49.85535
69,210,152,113.50357,38.496430000000004
69,211,151,109.48007,41.51993
69,212,150,109.40387,40.59613
69,213,149,108.23126,40.768739999999994
69,214,148,106.26454,41.73546
69,215,147,101.741425,45.25857499999999
69,216,146,106.36847,39.63153
69,217,145,94.46056,50.53944
69,218,144,102.14598,41.854020000000006
69,219,143,104.83107,38.16893
69,220,142,104.118126,37.881873999999996
69,221,141,110.93139,30.068610000000007
69,222,140,108.69211,31.30789
69,223,139,91.32682,47.67318
69,224,138,115.96285,22.037149999999997
69,225,137,110.260544,26.739456000000004
69,226,136,107.79505,28.204949999999997
69,227,135,112.98704,22.012960000000007
69,228,134,119.629395,14.370604999999998
69,229,133,104.865204,28.134795999999994
69,230,132,113.650826,18.349174000000005
69,231,131,97.64868,33.35132
69,232,130,107.81282,22.187179999999998
69,233,129,112.08941,16.91059
69,234,128,118.685295,9.314705000000004
69,235,127,107.707245,19.292755
69,236,126,118.217476,7.782523999999995
69,237,125,109.880165,15.119834999999995
69,238,124,110.8433,13.1567
69,239,123,110.72203,12.277969999999996
69,240,122,107.85941,14.140590000000003
69,241,121,110.681816,10.318184000000002
